Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Frederik Jäkel,de GER,DF,Oostende,19,2001,9.8,,9,,,,,,,,,,,14,,,,BelgianProLeague
Adam Jakubech,sk SVK,GK,Kortrijk,23,1997,12.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Denzhel Jubitana,sr SUR,MF,Waasland-Bev,21,1999,0.4,,4,,,,,,,,,,,0,,,,BelgianProLeague
Issa Kaboré,bf BFA,DF,Mechelen,19,2001,15.3,,28,,,,,,,,,,,24,,,,BelgianProLeague
Nikos Kainourgios,gr GRE,"MF,FW",Zulte Waregem,21,1998,7.6,,3,,,,,,,,,,,6,,,,BelgianProLeague
Marco Kana,be BEL,"MF,DF",Anderlecht,17,2002,3.9,,0,,,,,,,,,,,0,,,,BelgianProLeague
Franck Kanouté,sn SEN,MF,Cercle Brugge,21,1998,11.5,,27,,,,,,,,,,,16,,,,BelgianProLeague
Edo Kayembe,cd COD,MF,Anderlecht,22,1998,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Edo Kayembe,cd COD,MF,Eupen,22,1998,20.2,,24,,,,,,,,,,,32,,,,BelgianProLeague
Aboubakar Keita,ci CIV,MF,OH Leuven,22,1997,0.6,,0,,,,,,,,,,,5,,,,BelgianProLeague
Mandela Keita,be BEL,MF,OH Leuven,18,2002,0.7,,4,,,,,,,,,,,3,,,,BelgianProLeague
Amine Khammas,ma MAR,"MF,DF",Waasland-Bev,21,1999,11.3,,22,,,,,,,,,,,24,,,,BelgianProLeague
Cédric Kipré,ci CIV,DF,Charleroi,23,1996,4.9,,7,,,,,,,,,,,12,,,,BelgianProLeague
Klauss,br BRA,FW,Standard Liège,23,1997,10.4,,12,,,,,,,,,,,3,,,,BelgianProLeague
Hervé Koffi,bf BFA,GK,Excel Mouscron,23,1996,34.0,,1,,,,,,,,,,,1,,,,BelgianProLeague
Aboubakary Koita,mr MTN,"MF,FW",Waasland-Bev,21,1998,19.8,,16,,,,,,,,,,,8,,,,BelgianProLeague
Odilon Kossounou,ci CIV,DF,Club Brugge,19,2001,24.4,,25,,,,,,,,,,,36,,,,BelgianProLeague
Eboue Kouassi,ci CIV,"MF,DF",Genk,22,1997,7.7,,7,,,,,,,,,,,9,,,,BelgianProLeague
Marko Kvasina,at AUT,FW,Oostende,23,1996,9.6,,8,,,,,,,,,,,4,,,,BelgianProLeague
Didier Lamkel Zé,cm CMR,"FW,MF",Antwerp,23,1996,16.9,,4,,,,,,,,,,,7,,,,BelgianProLeague
Noa Lang,nl NED,FW,Club Brugge,21,1999,19.4,,13,,,,,,,,,,,11,,,,BelgianProLeague
Dimitri Lavalée,be BEL,"DF,MF",Sint-Truiden,23,1997,10.8,,16,,,,,,,,,,,33,,,,BelgianProLeague
Bryan Limbombe,be BEL,MF,Genk,19,2001,0.5,,1,,,,,,,,,,,1,,,,BelgianProLeague
Lucas Lissens,be BEL,DF,Anderlecht,19,2001,1.8,,2,,,,,,,,,,,4,,,,BelgianProLeague
Jhonny Lucas,br BRA,MF,Sint-Truiden,20,2000,1.1,,1,,,,,,,,,,,3,,,,BelgianProLeague
Jhon Lucumí,co COL,DF,Genk,22,1998,31.5,,49,,,,,,,,,,,45,,,,BelgianProLeague
Gary Magnée,be BEL,MF,Eupen,20,1999,0.8,,1,,,,,,,,,,,0,,,,BelgianProLeague
Yonas Malede,il ISR,FW,Gent,20,1999,0.8,,0,,,,,,,,,,,1,,,,BelgianProLeague
Levi Malungu,be BEL,DF,Charleroi,18,2002,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Benson Manuel,ao ANG,MF,Antwerp,23,1997,2.2,,2,,,,,,,,,,,2,,,,BelgianProLeague
Jean Marcelin,fr FRA,DF,Cercle Brugge,20,2000,19.0,,33,,,,,,,,,,,21,,,,BelgianProLeague
Ko Matsubara,jp JPN,DF,Sint-Truiden,23,1996,5.3,,3,,,,,,,,,,,3,,,,BelgianProLeague
Dylan Mbayo,be BEL,MF,Gent,18,2001,0.9,,2,,,,,,,,,,,1,,,,BelgianProLeague
Guy Mbenza,cg CGO,FW,Antwerp,20,2000,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Guy Mbenza,cg CGO,FW,Cercle Brugge,20,2000,1.9,,0,,,,,,,,,,,0,,,,BelgianProLeague
Ayrton Mboko,be BEL,DF,Beerschot,22,1997,2.9,,3,,,,,,,,,,,3,,,,BelgianProLeague
Mark McKenzie,us USA,DF,Genk,21,1999,5.8,,7,,,,,,,,,,,3,,,,BelgianProLeague
Jenthe Mertens,be BEL,"DF,MF",Waasland-Bev,20,1999,6.7,,11,,,,,,,,,,,10,,,,BelgianProLeague
Senna Miangue,be BEL,DF,Eupen,23,1997,22.7,,15,,,,,,,,,,,54,,,,BelgianProLeague
Koji Miyoshi,jp JPN,"MF,FW",Antwerp,23,1997,9.1,,7,,,,,,,,,,,5,,,,BelgianProLeague
Samy Mmaee,ma MAR,DF,Sint-Truiden,23,1996,9.0,,12,,,,,,,,,,,4,,,,BelgianProLeague
Terem Moffi,ng NGA,FW,Kortrijk,21,1999,1.7,,0,,,,,,,,,,,0,,,,BelgianProLeague
Dauda Mohammed,gh GHA,"FW,MF",Anderlecht,22,1998,2.4,,8,,,,,,,,,,,1,,,,BelgianProLeague
Paul Mukairu,ng NGA,"MF,FW",Anderlecht,20,2000,14.1,,29,,,,,,,,,,,7,,,,BelgianProLeague
David Mukuna,be BEL,FW,Beerschot,18,2001,0.6,,0,,,,,,,,,,,1,,,,BelgianProLeague
Jackson Muleka,cd COD,"FW,MF",Standard Liège,20,1999,10.0,,5,,,,,,,,,,,3,,,,BelgianProLeague
Anthony Musaba,nl NED,"FW,MF",Cercle Brugge,19,2000,22.9,,9,,,,,,,,,,,7,,,,BelgianProLeague
Bohdan Mykhaylychenko,ua UKR,DF,Anderlecht,23,1997,16.9,,25,,,,,,,,,,,37,,,,BelgianProLeague
Joakim Mæhle,dk DEN,"DF,MF",Genk,23,1997,16.0,,22,,,,,,,,,,,40,,,,BelgianProLeague
Konan N'dri,ci CIV,"MF,FW",Eupen,19,2000,23.7,,43,,,,,,,,,,,19,,,,BelgianProLeague
Keito Nakamura,jp JPN,MF,Sint-Truiden,20,2000,1.8,,1,,,,,,,,,,,0,,,,BelgianProLeague
Théo Ndicka,fr FRA,"DF,MF",Oostende,20,2000,8.5,,2,,,,,,,,,,,0,,,,BelgianProLeague
Julien Ngoy,be BEL,FW,Eupen,22,1997,22.6,,15,,,,,,,,,,,10,,,,BelgianProLeague
Shamar Nicholson,jm JAM,"FW,MF",Charleroi,23,1997,24.5,,13,,,,,,,,,,,10,,,,BelgianProLeague
Ken Nkuba,be BEL,FW,Charleroi,18,2002,1.1,,3,,,,,,,,,,,1,,,,BelgianProLeague
