Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Ilias Chair,ma MAR,"MF,FW",QPR,22,1997,45,43,"3,497",38.9,8,4,12,8,0,0,6,0,8.4,8.4,6.3,14.8,130,185,264,0.21,0.10,0.31,0.21,0.31,0.22,0.16,0.38,0.22,0.38
Conor Chaplin,eng ENG,"FW,MF",Barnsley,23,1997,34,31,"2,113",23.5,4,3,7,4,0,0,2,0,4.9,4.9,4.3,9.2,18,77,185,0.17,0.13,0.30,0.17,0.30,0.21,0.19,0.39,0.21,0.39
Harry Chapman,eng ENG,"FW,MF",Blackburn,22,1997,5,0,88,1.0,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,5,7,12,0.00,1.02,1.02,0.00,1.02,0.26,0.58,0.83,0.26,0.83
Jack Clarke,eng ENG,"FW,DF",Stoke City,19,2000,14,6,588,6.5,0,1,1,0,0,0,2,0,0.7,0.7,1.2,1.9,18,15,38,0.00,0.15,0.15,0.00,0.15,0.11,0.18,0.29,0.11,0.29
Matthew Clarke,eng ENG,DF,Derby County,23,1996,42,42,"3,687",41.0,0,0,0,0,0,0,3,0,3.5,3.5,1.3,4.8,23,117,9,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Trevor Clarke,ie IRL,"DF,MF",Rotherham Utd,22,1998,9,1,195,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,8,4,2,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.27,0.21,0.27
Jake Clarke-Salter,eng ENG,DF,Birmingham City,22,1997,10,9,789,8.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,8,33,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Josh Coburn,eng ENG,"FW,MF",Middlesbrough,17,2002,4,0,53,0.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,1.70,0.00,1.70,1.70,1.70,0.25,0.00,0.25,0.25,0.25
Bradley Collins,eng ENG,GK,Barnsley,23,1997,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathan Collins,ie IRL,DF,Stoke City,19,2001,22,19,"1,768",19.6,2,1,3,2,0,0,2,1,0.7,0.7,0.8,1.5,22,77,32,0.10,0.05,0.15,0.10,0.15,0.03,0.04,0.08,0.03,0.08
