Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Henry Jon Crosthwaite,de GER,FW,Darmstadt 98,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antonio Jonjić,de GER,"FW,MF",Erzgebirge Aue,20,1999,11,0,149,1.7,0,1,1,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60
Julian Justvan,de GER,MF,Paderborn 07,22,1998,29,21,"1,540",17.1,2,6,8,2,0,0,1,0,0.12,0.35,0.47,0.12,0.47
Patrick Kammerbauer,de GER,MF,Braunschweig,23,1997,25,14,"1,427",15.9,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13
Florian Kastenmeier,de GER,GK,Düsseldorf,23,1997,33,33,"2,951",32.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Scott Kennedy,ca CAN,DF,Jahn R'burg,23,1997,22,16,"1,380",15.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Sebastian Klaas,de GER,MF,Osnabrück,22,1998,2,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Christoph Klarer,at AUT,DF,Düsseldorf,20,2000,13,9,834,9.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nico Klaß,de GER,"DF,MF",Braunschweig,23,1997,15,10,757,8.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Jannis Kleeberg,de GER,MF,Braunschweig,18,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Noel Knothe,de GER,DF,Nürnberg,21,1999,5,3,256,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Christoph Kobald,at AUT,DF,Karlsruher,22,1997,33,32,"2,891",32.1,1,0,1,1,0,0,2,1,0.03,0.00,0.03,0.03,0.03
Sven Köhler,de GER,MF,Osnabrück,23,1996,5,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marco Komenda,hr CRO,DF,Holstein Kiel,23,1996,13,9,786,8.7,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
David Kopacz,pl POL,"MF,FW",W'burg Kickers,21,1999,32,25,"2,173",24.1,3,4,7,3,0,0,5,0,0.12,0.17,0.29,0.12,0.29
Dominik Kother,de GER,MF,Karlsruher,20,2000,23,8,879,9.8,3,0,3,3,0,0,2,1,0.31,0.00,0.31,0.31,0.31
Dawid Kownacki,pl POL,"FW,MF",Düsseldorf,23,1997,27,15,"1,390",15.4,7,5,12,4,3,3,5,0,0.45,0.32,0.78,0.26,0.58
