Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Paul Schacherer,,,Chambly Oise,18,2002,1,0,12,0.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Aurélien Scheidler,fr FRA,FW,Nancy,22,1998,16,16,"1,283",14.3,4,2,6,4,0,0,4,0,0.28,0.14,0.42,0.28,0.42
Thomas Secchi,fr FRA,GK,Rodez Aveyron,23,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alidu Seidu,gh GHA,DF,Clermont Foot,20,2000,22,9,854,9.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Manuel Semedo,pt POR,FW,Sochaux,20,2000,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kalidou Sidibé,fr FRA,MF,Toulouse,21,1999,4,0,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kalidou Sidibé,fr FRA,"DF,MF",Châteauroux,21,1999,11,10,932,10.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Richard Sila,,FW,Paris FC,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,20,1999,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bryan Soumaré,fr FRA,MF,Sochaux,21,1999,35,30,"2,464",27.4,3,4,7,2,1,1,3,0,0.11,0.15,0.26,0.07,0.22
Vlatko Stojanovski,mk MKD,FW,Chambly Oise,23,1997,11,5,557,6.2,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16
Bart Straalman,nl NED,DF,Grenoble,23,1996,19,15,"1,416",15.7,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06
Luka Šušnjara,si SVN,"FW,MF",Chambly Oise,23,1997,11,8,632,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Sanasi Sy,fr FRA,DF,Amiens,21,1999,7,5,398,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jules Sylvestre Brac,fr FRA,DF,Grenoble,21,1998,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adil Taoui,fr FRA,FW,Toulouse,18,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Hermann Tebily,fr FRA,FW,Sochaux,18,2002,4,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jordan Tell,gp GLP,"FW,MF",Clermont Foot,23,1997,33,7,838,9.3,2,0,2,2,0,0,1,1,0.21,0.00,0.21,0.21,0.21
Thierno Thioub,sn SEN,FW,Pau FC,22,1998,2,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cheikh Tidiane Sabaly,sn SEN,"MF,FW",Pau FC,21,1999,30,18,"1,544",17.2,3,4,7,3,0,0,5,0,0.17,0.23,0.41,0.17,0.41
Cheick Timite,ci CIV,"FW,MF",Amiens,22,1997,29,11,"1,057",11.7,4,0,4,4,0,0,3,0,0.34,0.00,0.34,0.34,0.34
Kenan Toibibou,km COM,DF,Châteauroux,15,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Darell Tokpa,fr FRA,FW,Amiens,19,2001,9,6,458,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guévin Tormin,fr FRA,"MF,FW",Châteauroux,22,1997,22,17,"1,363",15.1,3,0,3,3,0,0,0,0,0.20,0.00,0.20,0.20,0.20
Azzeddine Toufiqui,fr FRA,MF,Caen,21,1999,3,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Souleymane Touré,fr FRA,DF,Le Havre,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mattéo Tramoni,fr FRA,"FW,MF",Ajaccio,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brahim Traoré,fr FRA,"DF,MF",Caen,16,2004,6,4,436,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Gaoussou Traoré,ml MLI,MF,Amiens,20,1999,7,2,313,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Vinni Triboulet,fr FRA,FW,Nancy,21,1999,33,14,"1,528",17.0,4,5,9,4,0,0,1,0,0.24,0.29,0.53,0.24,0.53
Lenny Vallier,fr FRA,"DF,MF",Niort,21,1999,23,15,"1,379",15.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Hugo Vandermersch,fr FRA,DF,Caen,21,1999,31,25,"2,226",24.7,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04
Thomas Vannoye,fr FRA,DF,Dunkerque,22,1998,8,4,391,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thibaut Vargas,fr FRA,DF,Châteauroux,20,2000,16,15,"1,333",14.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Malcolm Viltard,fr FRA,MF,Sochaux,17,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alan Virginius,fr FRA,"MF,FW",Sochaux,17,2003,15,4,519,5.8,3,2,5,3,0,0,1,0,0.52,0.35,0.87,0.52,0.87
Rémy Vita,km COM,DF,Troyes,19,2001,5,3,279,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Abdelwahed Wahib,ma MAR,DF,Le Havre,20,2000,3,0,118,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aristide Wam,cm CMR,MF,Le Havre,18,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gaëtan Weissbeck,fr FRA,MF,Sochaux,23,1997,36,36,"3,113",34.6,10,3,13,9,1,2,7,0,0.29,0.09,0.38,0.26,0.35
Christopher Wooh,cm CMR,DF,Nancy,18,2001,13,7,671,7.5,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27
Darlin Yongwa,cm CMR,DF,Niort,19,2000,27,25,"2,236",24.8,0,2,2,0,0,0,8,2,0.00,0.08,0.08,0.00,0.08
Caleb Zady Sery,ci CIV,"MF,FW",Caen,20,1999,24,13,"1,153",12.8,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16
Younn Zahary,km COM,DF,Pau FC,21,1998,13,7,756,8.4,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12
