Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Álvaro Fidalgo,es ESP,"MF,FW",Castellón,23,1997,22,12,"1,164",12.9,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08
Issa Fomba,ml MLI,MF,Málaga,19,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alejandro Francés,es ESP,DF,Zaragoza,17,2002,28,24,"2,266",25.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Enric Franquesa,es ESP,"DF,MF",Girona,23,1997,27,21,"1,875",20.8,3,1,4,3,0,0,2,1,0.14,0.05,0.19,0.14,0.19
Aldair Fuentes,pe PER,MF,Fuenlabrada,22,1998,19,5,493,5.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Diego Fuoli,es ESP,GK,Sabadell,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Manuel Fuster,es ESP,"MF,FW",Albacete,22,1997,38,34,"2,712",30.1,2,1,3,1,1,1,3,1,0.07,0.03,0.10,0.03,0.07
Borja Garcés,es ESP,FW,Fuenlabrada,20,1999,21,15,"1,196",13.3,6,0,6,6,0,0,4,0,0.45,0.00,0.45,0.45,0.45
Fran Garcia,es ESP,DF,Rayo Vallecano,20,1999,37,37,"3,286",36.5,1,2,3,1,0,0,3,0,0.03,0.05,0.08,0.03,0.08
Manu García,es ESP,"MF,FW",Sporting Gijón,22,1998,35,34,"2,879",32.0,1,3,4,1,0,0,7,0,0.03,0.09,0.13,0.03,0.13
Mario García,es ESP,DF,CD Mirandés,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pablo García,es ESP,DF,Sporting Gijón,20,2000,13,9,824,9.2,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11
Víctor García,es ESP,MF,Sabadell,22,1997,35,20,"1,967",21.9,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09
Óscar Gil,es ESP,DF,Espanyol,23,1997,32,22,"2,068",23.0,1,3,4,1,0,0,1,0,0.04,0.13,0.17,0.04,0.17
Emiliano Gómez,uy URU,"MF,FW",Albacete,18,2001,4,2,144,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62
Victor Gomez,es ESP,DF,CD Mirandés,20,2000,38,36,"3,260",36.2,1,4,5,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14
Cristo González,es ESP,FW,CD Mirandés,22,1997,20,18,"1,529",17.0,4,2,6,3,1,1,2,0,0.24,0.12,0.35,0.18,0.29
Édgar González,es ESP,MF,Oviedo,23,1997,37,35,"3,151",35.0,3,1,4,3,0,0,17,0,0.09,0.03,0.11,0.09,0.11
Fabio González,es ESP,MF,Las Palmas,23,1997,25,14,"1,368",15.2,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Roberto González,es ESP,"MF,FW",Las Palmas,19,2001,30,26,"2,052",22.8,8,3,11,8,0,0,1,0,0.35,0.13,0.48,0.35,0.48
Sergio González,es ESP,"DF,MF",Tenerife,23,1997,15,7,763,8.5,1,1,2,1,0,0,3,1,0.12,0.12,0.24,0.12,0.24
José Gragera,es ESP,MF,Sporting Gijón,19,2000,32,27,"2,440",27.1,1,2,3,1,0,0,4,0,0.04,0.07,0.11,0.04,0.11
Guito,es ESP,DF,Alcorcón,22,1998,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gorka Guruzeta,es ESP,FW,Sabadell,23,1996,39,27,"2,165",24.1,3,2,5,3,0,0,5,0,0.12,0.08,0.21,0.12,0.21
Diego Gutiérrez,es ESP,MF,Las Palmas,19,2000,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Hacen,mr MTN,MF,Lugo,22,1997,24,15,"1,307",14.5,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14
Javi Hernández,es ESP,DF,Leganés,22,1998,33,32,"2,823",31.4,3,1,4,3,0,0,2,1,0.10,0.03,0.13,0.10,0.13
Mario Hernández,es ESP,DF,Rayo Vallecano,21,1999,13,10,987,11.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Javier Hernández Tarroc,es ESP,DF,Zaragoza,19,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Manu Hernando,es ESP,DF,Ponferradina,22,1998,14,14,"1,215",13.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Omar El Hilali,ma MAR,DF,Espanyol,16,2003,3,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlos Isaac,es ESP,"DF,MF",Albacete,22,1998,24,19,"1,748",19.4,0,2,2,0,0,0,2,1,0.00,0.10,0.10,0.00,0.10
Nicolas Jackson,sn SEN,"FW,MF",CD Mirandés,19,2001,16,7,720,8.0,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25
Jacobo,es ESP,"MF,FW",Tenerife,23,1997,14,5,477,5.3,1,0,1,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19
Guillem Jaime,es ESP,"DF,MF",Castellón,21,1999,11,9,874,9.7,0,2,2,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21
Jannick,gq EQG,MF,Zaragoza,21,1998,6,3,268,3.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Javier Jiménez García,es ESP,DF,Albacete,23,1997,6,6,474,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Erik Jirka,sk SVK,"MF,FW",CD Mirandés,22,1997,32,21,"1,756",19.5,5,1,6,5,0,0,1,0,0.26,0.05,0.31,0.26,0.31
Christian Joel,cu CUB,GK,Sporting Gijón,21,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jofre,es ESP,MF,Espanyol,19,2001,3,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jonathan,br BRA,DF,Las Palmas,22,1998,12,10,839,9.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Uriel Jové,es ESP,DF,Cartagena,21,1999,1,1,83,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Juande,es ESP,DF,Málaga,21,1999,39,36,"3,113",34.6,4,0,4,4,0,0,9,0,0.12,0.00,0.12,0.12,0.12
Ibrahima Kebe,ml MLI,MF,Girona,19,2000,25,5,752,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Martín Lapeña Ramos,es ESP,FW,UD Logroñés,20,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Larra,es ESP,MF,Zaragoza,22,1997,18,4,500,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
David Larrubia,es ESP,FW,Málaga,18,2002,8,1,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kleandro Lleshi,al ALB,MF,Cartagena,20,1999,3,0,15,0.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Enzo Loiodice,fr FRA,MF,Las Palmas,19,2000,15,14,982,10.9,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Álex López,es ESP,MF,CD Mirandés,23,1997,16,9,798,8.9,0,2,2,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23
Iago López,es ESP,DF,UD Logroñés,21,1999,37,34,"3,066",34.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Lluis López,es ESP,DF,Espanyol,23,1997,18,11,"1,067",11.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Pedro López,es ESP,DF,Lugo,23,1997,3,2,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pol Lozano,es ESP,MF,Espanyol,20,1999,24,1,380,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Sergio Lozano,es ESP,"MF,FW",Cartagena,21,1999,5,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Luis Rodríguez,pa PAN,"MF,FW",Lugo,22,1998,26,20,"1,750",19.4,5,1,6,5,0,0,2,0,0.26,0.05,0.31,0.26,0.31
Neftali Manzambi,ao ANG,MF,Sporting Gijón,23,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
