Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Dženan Pejčinović,de GER,FW,Wolfsburg,17,2005,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Luca Pellegrini,it ITA,DF,Eint Frankfurt,23,1999,6.2,13.0,8,10.0,3.0,0.0,8.0,8.0,100.0,0.0,8.0,2.0,6.0,7,20.0,11.0,1.0,Bundesliga,2022-2023
Ricardo Pepi,us USA,FW,Augsburg,19,2003,1.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,Bundesliga,2022-2023
Juan Perea,co COL,FW,Stuttgart,22,2000,4.6,5.0,4,0.0,2.0,3.0,2.0,4.0,50.0,2.0,2.0,1.0,1.0,1,6.0,3.0,0.0,Bundesliga,2022-2023
Lukas Petkov,bg BUL,"MF,FW",Augsburg,21,2000,1.6,5.0,1,4.0,1.0,0.0,2.0,3.0,66.7,1.0,4.0,1.0,3.0,1,6.0,0.0,0.0,Bundesliga,2022-2023
Tymoteusz Puchacz,pl POL,DF,Union Berlin,23,1999,0.6,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Bundesliga,2022-2023
Eduardo Quaresma,pt POR,DF,Hoffenheim,20,2002,1.0,5.0,3,3.0,2.0,0.0,1.0,3.0,33.3,2.0,3.0,2.0,1.0,0,5.0,3.0,0.0,Bundesliga,2022-2023
Joshua Quarshie,de GER,MF,Hoffenheim,18,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Diant Ramaj,de GER,GK,Eint Frankfurt,20,2001,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Bundesliga,2022-2023
Rocco Reitz,de GER,MF,Gladbach,20,2002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Gio Reyna,us USA,"FW,MF",Dortmund,19,2002,6.9,14.0,7,2.0,5.0,7.0,5.0,10.0,50.0,5.0,8.0,2.0,6.0,3,17.0,5.0,0.0,Bundesliga,2022-2023
Merlin Röhl,de GER,"MF,FW",Freiburg,20,2002,0.6,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Bundesliga,2022-2023
Tony Rölke,de GER,FW,Hertha BSC,19,2003,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,Bundesliga,2022-2023
Tom Rothe,de GER,DF,Dortmund,17,2004,0.3,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0.0,Bundesliga,2022-2023
