Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Patrick Vroegh,nl NED,MF,RKC Waalwijk,22,1999,16,5,568,6.3,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16
Dylan van Wageningen,nl NED,MF,Sparta R'dam,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patrik Wålemark,se SWE,"MF,FW",Feyenoord,20,2001,15,4,592,6.6,2,2,4,2,0,0,1,0,0.30,0.30,0.61,0.30,0.61
Mats Wieffer,nl NED,MF,Feyenoord,22,1999,25,18,"1,673",18.6,1,5,6,1,0,0,5,0,0.05,0.27,0.32,0.05,0.32
Owen Wijndal,nl NED,DF,Ajax,22,1999,20,15,"1,334",14.8,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13
Luuk Wouters,nl NED,DF,RKC Waalwijk,23,1999,6,1,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Romaric Yapi,fr FRA,"MF,DF",Vitesse,22,2000,16,3,357,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Timo Zaal,nl NED,DF,Heerenveen,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arthur Zagre,fr FRA,DF,Utrecht,20,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arthur Zagre,fr FRA,DF,Excelsior,20,2001,9,8,618,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lequincio Zeefuik,nl NED,FW,Volendam,17,2004,14,2,337,3.7,2,0,2,2,0,0,2,0,0.53,0.00,0.53,0.53,0.53
Willum Þór Willumsson,is ISL,MF,Go Ahead Eag,23,1998,27,25,"2,186",24.3,8,3,11,6,2,4,1,0,0.33,0.12,0.45,0.25,0.37
