Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Matias Arezo,uy URU,FW,Granada,20,2002,14,3,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6,5,17,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.30,0.28,0.30
Iñigo Arguibide,es ESP,DF,Osasuna,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,34,22,"2,047",22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56,81,94,0.40,0.18,0.57,0.40,0.57,0.38,0.16,0.54,0.38,0.54
Loïc Bade,fr FRA,DF,Sevilla,23,2000,28,27,"2,277",25.3,0,1,1,0,0,0,5,1,0.9,0.9,0.5,1.3,15,76,3,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.05,0.04,0.05
Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,34,33,"2,579",28.7,2,14,16,2,0,1,11,1,7.9,7.1,9.2,16.3,84,165,181,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.60,0.25,0.57
Alejandro Balde,es ESP,DF,Barcelona,19,2003,18,15,"1,378",15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0.00,0.07,0.07,0.00,0.07,0.01,0.08,0.09,0.01,0.09
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,21,2001,29,20,"1,427",15.9,4,1,5,4,0,0,1,0,3.5,3.5,1.3,4.8,56,39,163,0.25,0.06,0.32,0.25,0.32,0.22,0.08,0.30,0.22,0.30
Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,24,17,"1,555",17.3,0,1,1,0,0,0,5,0,0.9,0.9,1.9,2.8,37,98,56,0.00,0.06,0.06,0.00,0.06,0.05,0.11,0.16,0.05,0.16
Jude Bellingham,eng ENG,MF,Real Madrid,20,2003,28,27,"2,315",25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.70,0.93,0.43,0.21,0.64,0.40,0.61
Antonio Blanco,es ESP,MF,Alavés,23,2000,33,29,"2,426",27.0,0,1,1,0,0,0,5,1,0.8,0.8,1.2,2.1,20,133,22,0.00,0.04,0.04,0.00,0.04,0.03,0.05,0.08,0.03,0.08
Adri Bosch,es ESP,DF,Granada,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brau,es ESP,DF,Granada,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manu Bueno,es ESP,MF,Sevilla,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
Pablo Busto,es ESP,DF,Betis,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.44,0.03,0.44
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20,2002,31,21,"1,817",20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.11,0.05,0.11
Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,31,20,"1,661",18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22,41,79,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31
Johnny Cardoso,us USA,MF,Betis,21,2001,17,15,"1,328",14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10,45,11,0.07,0.14,0.20,0.07,0.20,0.07,0.03,0.11,0.07,0.11
Carmona,es ESP,"DF,MF",Getafe,21,2002,30,15,"1,313",14.6,1,1,2,1,0,0,8,0,0.8,0.8,1.0,1.8,29,39,55,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12
Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13,14,31,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15
Marc Casado,es ESP,MF,Barcelona,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Víctor Chust,es ESP,DF,Cádiz,23,2000,22,22,"1,864",20.7,0,1,1,0,0,0,3,2,0.3,0.3,0.3,0.6,10,80,2,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.03,0.02,0.03
Silvi Clúa,es ESP,MF,Girona,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Copete,es ESP,DF,Mallorca,23,1999,19,17,"1,333",14.8,1,1,2,1,0,0,7,0,0.5,0.5,0.8,1.3,3,52,2,0.07,0.07,0.14,0.07,0.14,0.04,0.05,0.09,0.04,0.09
Theo Corbeanu,ca CAN,"MF,FW",Granada,21,2002,9,2,182,2.0,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,5,5,13,0.49,0.00,0.49,0.49,0.49,0.14,0.00,0.14,0.14,0.14
Samu Costa,pt POR,MF,Mallorca,22,2000,34,26,"2,303",25.6,1,1,2,1,0,0,8,0,1.1,1.1,0.5,1.6,16,93,32,0.04,0.04,0.08,0.04,0.08,0.04,0.02,0.06,0.04,0.06
Yan Couto,br BRA,"DF,FW",Girona,21,2002,34,24,"2,245",24.9,1,8,9,1,0,0,8,0,1.5,1.5,4.2,5.7,151,97,240,0.04,0.32,0.36,0.04,0.36,0.06,0.17,0.23,0.06,0.23
Juan Cruz,es ESP,FW,Betis,23,2000,5,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,10,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.13,0.09,0.13
Pau Cubarsí,es ESP,DF,Barcelona,16,2007,19,18,"1,558",17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8,75,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Jorge Cuenca,es ESP,DF,Villarreal,23,1999,29,21,"1,963",21.8,3,1,4,3,0,0,7,0,1.2,1.2,0.2,1.5,11,78,30,0.14,0.05,0.18,0.14,0.18,0.06,0.01,0.07,0.06,0.07
Alberto Dadie,es ESP,MF,Real Sociedad,21,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moussa Diakité,ml MLI,MF,Cádiz,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assane Diao,es ESP,FW,Betis,17,2005,18,13,"1,048",11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101,0.17,0.00,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,23,1999,31,18,"1,545",17.2,8,6,14,8,0,0,0,0,5.7,5.7,4.4,10.1,76,75,166,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59
Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,22,18,"1,584",17.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,63,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Mario Dominguez,es ESP,FW,Valencia,19,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59
Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,17,7,708,7.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,30,12,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,4.6,4.6,1.3,5.9,10,13,53,0.70,0.10,0.80,0.70,0.80,0.46,0.13,0.59,0.46,0.59
Hugo Duro,es ESP,FW,Valencia,23,1999,37,35,"2,976",33.1,13,2,15,13,0,0,4,0,11.5,11.5,1.3,12.9,27,34,157,0.39,0.06,0.45,0.39,0.45,0.35,0.04,0.39,0.35,0.39
Karl Etta,cm CMR,FW,Cádiz,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,21,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.37,0.28,0.37
Abde Ezzalzouli,ma MAR,FW,Betis,21,2001,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57,25,89,0.10,0.00,0.10,0.10,0.10,0.31,0.03,0.34,0.23,0.26
Ansu Fati,es ESP,"MF,FW",Barcelona,20,2002,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,4,5,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34
Peter Federico,do DOM,"MF,FW",Valencia,21,2002,15,5,649,7.2,0,0,0,0,0,0,1,0,1.7,1.7,1.0,2.7,19,16,48,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38,0.24,0.38
João Félix,pt POR,FW,Barcelona,23,1999,30,18,"1,540",17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69
Valery Fernández,es ESP,"MF,FW",Girona,23,1999,27,2,506,5.6,2,0,2,2,0,0,1,0,0.7,0.7,0.8,1.5,20,12,54,0.36,0.00,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26
Rachad Fettal,ma MAR,FW,Almería,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.41,0.12,0.53,0.41,0.53
