Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Giacomo Manzari,it ITA,FW,FeralpiSalò,22,2000,10,5,464,5.2,0,2,2,0,0,0,1,0,0.3,0.3,1.3,1.6,6,11,21,0.00,0.39,0.39,0.00,0.39,0.07,0.25,0.32,0.07,0.32
Alessandro Marcandalli,it ITA,DF,Reggiana,20,2002,35,35,"2,913",32.4,1,1,2,1,0,0,5,1,0.6,0.6,0.5,1.1,10,82,5,0.03,0.03,0.06,0.03,0.06,0.02,0.02,0.03,0.02,0.03
Iulius Marginean,ro ROU,"MF,FW",Ternana,22,2001,10,1,238,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,5,8,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Patrizio Masini,it ITA,MF,Ascoli,22,2001,25,22,"1,868",20.8,2,0,2,2,0,0,7,0,0.9,0.9,0.4,1.3,15,61,44,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06
Pedro Mendes,pt POR,FW,Ascoli,23,1999,27,25,"2,203",24.5,11,2,13,7,4,4,2,0,7.0,3.8,2.1,6.0,16,56,128,0.45,0.08,0.53,0.29,0.37,0.28,0.09,0.37,0.16,0.24
Valentin Mihaila,ro ROU,"FW,MF",Parma,23,2000,32,21,"1,602",17.8,6,2,8,6,0,0,4,0,4.9,4.9,1.8,6.7,33,52,163,0.34,0.11,0.45,0.34,0.45,0.27,0.10,0.37,0.27,0.37
Tommaso Milanese,it ITA,"MF,FW",Ascoli,21,2002,14,6,555,6.2,0,1,1,0,0,0,1,0,0.8,0.8,0.6,1.3,15,18,17,0.00,0.16,0.16,0.00,0.16,0.12,0.09,0.22,0.12,0.22
Vincenzo Millico,it ITA,"MF,FW",Ascoli,22,2000,10,2,213,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,7,14,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
Kevin Miranda,it ITA,DF,Catanzaro,20,2003,10,1,257,2.9,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Lukas Mondele,be BEL,MF,Modena,19,2004,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gregorio Morachioli,it ITA,"FW,MF",Bari,23,2000,23,9,945,10.5,0,2,2,0,0,0,1,0,1.8,1.8,1.3,3.1,33,29,97,0.00,0.19,0.19,0.00,0.19,0.17,0.12,0.29,0.17,0.29
Luca Moro,it ITA,"FW,MF",Spezia,22,2001,26,10,"1,008",11.2,4,0,4,3,1,2,3,0,4.1,2.6,0.7,3.3,7,3,68,0.36,0.00,0.36,0.27,0.27,0.37,0.07,0.43,0.23,0.30
Amney Moutassime,it ITA,FW,Südtirol,19,2004,2,0,11,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,2,0.00,0.00,0.00,0.00,0.00,4.42,0.00,4.42,4.42,4.42
Marlon Mustapha,at AUT,FW,Como,22,2001,7,0,181,2.0,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,4,2,14,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
Marco Nasti,it ITA,FW,Bari,19,2003,35,26,"2,206",24.5,6,1,7,6,0,0,9,0,5.1,5.1,1.9,7.0,15,17,130,0.24,0.04,0.29,0.24,0.29,0.21,0.08,0.28,0.21,0.28
Jahce Novello,au AUS,FW,Cosenza,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Ntanda,be BEL,"MF,FW",Sampdoria,18,2005,9,0,78,0.9,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3,2,6,6,0.00,0.00,0.00,0.00,0.00,0.89,0.62,1.51,0.89,1.51
Patrick Nuamah,it ITA,MF,Brescia,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cas Odenthal,nl NED,DF,Como,22,2000,30,29,"2,545",28.3,2,0,2,2,0,0,4,1,1.8,1.8,0.2,2.0,7,80,9,0.07,0.00,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07
Marco Oliva,it ITA,MF,Modena,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrea Oliveri,it ITA,"DF,MF",Catanzaro,20,2003,26,6,787,8.7,1,0,1,1,0,0,2,1,0.6,0.6,1.1,1.7,10,26,50,0.11,0.00,0.11,0.11,0.11,0.07,0.12,0.19,0.07,0.19
Giacomo Olzer,it ITA,"MF,FW",Brescia,22,2001,27,8,897,10.0,0,0,0,0,0,0,7,1,2.4,2.4,1.0,3.4,31,30,91,0.00,0.00,0.00,0.00,0.00,0.24,0.10,0.34,0.24,0.34
Simone Panada,it ITA,"MF,FW",Sampdoria,21,2002,3,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrea Papetti,it ITA,DF,Brescia,21,2002,33,28,"2,551",28.3,1,2,3,1,0,0,3,0,1.1,1.1,1.2,2.2,28,88,22,0.04,0.07,0.11,0.04,0.11,0.04,0.04,0.08,0.04,0.08
Emanuele Pecorino,it ITA,FW,Südtirol,22,2001,26,8,982,10.9,4,0,4,4,0,0,4,0,2.3,2.3,0.7,3.0,10,17,72,0.37,0.00,0.37,0.37,0.37,0.22,0.06,0.28,0.22,0.28
