Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Kodai Sano,jp JPN,MF,NEC Nijmegen,19,2003,24,17,"1,593",17.7,4,2,6,4,0,0,3,0,0.23,0.11,0.34,0.23,0.34
Antonio Satriano,it ITA,FW,Heracles Almelo,19,2003,6,1,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leo Sauer,sk SVK,FW,Feyenoord,17,2005,13,0,287,3.2,2,3,5,2,0,0,1,0,0.63,0.94,1.57,0.63,1.57
Jasper Schendelaar,nl NED,GK,Zwolle,22,2000,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sem Scheperman,nl NED,"MF,DF",Heracles Almelo,21,2002,22,8,702,7.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Vivaldo Semedo,pt POR,FW,Volendam,18,2005,13,7,626,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14
Nicolás Serrano,es ESP,MF,Zwolle,20,2003,10,0,147,1.6,0,1,1,0,0,0,1,0,0.00,0.61,0.61,0.00,0.61
José Pascual Alba Seva,es ESP,FW,Almere City,23,2000,3,1,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Serano Seymor,nl NED,DF,Excelsior,21,2002,9,4,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ian Smeulers,nl NED,DF,Excelsior,23,2000,6,1,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kees Smit,nl NED,MF,AZ Alkmaar,17,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Finn Stam,nl NED,DF,AZ Alkmaar,20,2003,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sem Steijn,nl NED,MF,Twente,21,2001,34,32,"2,414",26.8,17,3,20,16,1,1,1,0,0.63,0.11,0.75,0.60,0.71
Filip Stevanovic,rs SRB,"MF,FW",RKC Waalwijk,20,2002,16,7,625,6.9,2,0,2,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29
Yukinari Sugawara,jp JPN,DF,AZ Alkmaar,23,2000,30,30,"2,557",28.4,4,7,11,4,0,0,1,0,0.14,0.25,0.39,0.14,0.39
Josip Šutalo,hr CRO,DF,Ajax,23,2000,23,22,"1,980",22.0,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05
Benjamin Tahirovic,ba BIH,MF,Ajax,20,2003,26,18,"1,667",18.5,2,4,6,2,0,0,5,0,0.11,0.22,0.32,0.11,0.32
Ilias Takidine,be BEL,FW,RKC Waalwijk,22,2001,8,0,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elayis Tavsan,nl NED,MF,NEC Nijmegen,22,2001,8,3,340,3.8,2,0,2,2,0,0,3,1,0.53,0.00,0.53,0.53,0.53
Kenneth Taylor,nl NED,MF,Ajax,21,2002,34,31,"2,758",30.6,5,5,10,5,0,0,3,0,0.16,0.16,0.33,0.16,0.33
Søren Tengstedt,dk DEN,"MF,FW",Go Ahead Eag,23,2000,14,2,405,4.5,0,2,2,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44
Jordan Teze,nl NED,DF,PSV Eindhoven,23,1999,30,29,"2,483",27.6,2,9,11,2,0,0,4,0,0.07,0.33,0.40,0.07,0.40
Mathijs Tielemans,nl NED,MF,Vitesse,21,2002,25,18,"1,673",18.6,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11
Malik Tillman,us USA,"MF,FW",PSV Eindhoven,21,2002,28,17,"1,594",17.7,9,10,19,9,0,0,2,0,0.51,0.56,1.07,0.51,1.07
Quinten Timber,nl NED,MF,Feyenoord,22,2001,31,31,"2,663",29.6,7,9,16,7,0,0,4,0,0.24,0.30,0.54,0.24,0.54
Nathan Tjoe-A-On,id IDN,DF,Heerenveen,21,2001,4,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Calvin Twigt,nl NED,MF,Volendam,20,2003,26,22,"2,047",22.7,2,0,2,1,1,1,4,0,0.09,0.00,0.09,0.04,0.04
Oscar Uddenäs,se SWE,"MF,FW",Excelsior,20,2002,23,2,470,5.2,3,0,3,3,0,0,1,0,0.57,0.00,0.57,0.57,0.57
Jeremy Udenhout,nl NED,MF,Excelsior,20,2003,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Manfred Ugalde,cr CRC,FW,Twente,21,2002,18,17,"1,372",15.2,7,6,13,7,0,0,3,0,0.46,0.39,0.85,0.46,0.85
Jesper Uneken,nl NED,FW,PSV Eindhoven,18,2004,1,0,3,0.0,1,0,1,1,0,0,0,0,30.00,0.00,30.00,30.00,30.00
Naci Ünüvar,nl NED,MF,Twente,20,2003,19,2,508,5.6,3,3,6,3,0,0,0,0,0.53,0.53,1.06,0.53,1.06
Amourrichio Van Axel Dongen,nl NED,FW,Ajax,18,2004,3,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dave Van Den Berg,nl NED,MF,Zwolle,23,2000,30,29,"2,556",28.4,5,2,7,5,0,0,7,0,0.18,0.07,0.25,0.18,0.25
Jason Van Duiven,nl NED,FW,Almere City,18,2005,13,1,292,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Syb Van Ottele,nl NED,"DF,MF",Heerenveen,21,2002,26,15,"1,429",15.9,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06
Tijs Velthuis,nl NED,DF,Sparta R'dam,21,2002,25,19,"1,762",19.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Yorbe Vertessen,be BEL,"FW,MF",PSV Eindhoven,22,2001,17,3,437,4.9,3,1,4,3,0,0,0,0,0.62,0.21,0.82,0.62,0.82
Andy Visser,nl NED,FW,Vitesse,18,2004,9,2,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rémy Vita,km COM,"DF,MF",Fortuna Sittard,22,2001,15,6,592,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joel Voelkerling Persson,se SWE,FW,Vitesse,20,2003,9,2,297,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Siemen Voet,be BEL,"DF,MF",Fortuna Sittard,23,2000,21,9,978,10.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Silvano Vos,nl NED,MF,Ajax,18,2005,11,3,351,3.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Patrick Vroegh,nl NED,MF,RKC Waalwijk,23,1999,3,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patrik Wålemark,se SWE,"MF,FW",Heerenveen,21,2001,24,16,"1,240",13.8,3,2,5,3,0,0,2,0,0.22,0.15,0.36,0.22,0.36
Charlie Webster,eng ENG,MF,Heerenveen,19,2004,13,2,236,2.6,1,0,1,1,0,0,0,1,0.38,0.00,0.38,0.38,0.38
Lasse Wehmeyer,de GER,MF,Heracles Almelo,20,2002,7,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daouda Weidmann,ci CIV,MF,RKC Waalwijk,20,2003,3,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Casper Widell,se SWE,DF,Excelsior,20,2003,30,27,"2,326",25.8,1,0,1,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04
Jannes Wieckhoff,de GER,DF,Heracles Almelo,22,2000,18,15,"1,360",15.1,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Mats Wieffer,nl NED,MF,Feyenoord,23,1999,29,29,"2,590",28.8,5,3,8,5,0,0,2,0,0.17,0.10,0.28,0.17,0.28
